                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9262,                 2.0052,                 2.4354,                0.54306,                0.61225,                0.59052,                0.33844,                 1.6247,                 1.9715,                 2.2076,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8867,                 1.9623,                 2.4007,                0.50579,                0.55411,                0.55938,                0.32693,                 1.5612,                 1.9343,                 2.1554,               0.001307,               0.001307,               0.001307
                     37,                 1.8832,                 1.9464,                 2.3184,                0.59471,                0.54545,                0.58672,                0.34361,                  1.584,                 1.8925,                 2.1762,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.7506,                 1.8473,                 2.2784,                0.52846,                0.68831,                0.58026,                0.34452,                 1.5183,                 1.9226,                 2.1091,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.8758,                 1.9042,                 2.3246,                0.53579,                0.58009,                0.55524,                0.32087,                 1.5258,                 2.1501,                  2.125,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.7235,                  1.834,                 2.2206,                0.52618,                0.60606,                0.57767,                0.35618,                 1.4983,                 2.0195,                 2.0356,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.761,                 1.8356,                  2.231,                0.57885,                0.61039,                0.60143,                0.35952,                 1.5564,                 1.9905,                 2.0917,               0.001208,               0.001208,               0.001208
                     42,                 1.6684,                 1.7901,                 2.2028,                0.57511,                0.59307,                0.57867,                0.35443,                 1.4824,                  1.918,                 2.0805,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.694,                 1.7592,                 2.2387,                 0.5968,                0.65801,                0.65205,                0.41486,                 1.4289,                 1.7536,                 1.9933,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.6922,                 1.7798,                 2.1824,                0.74504,                0.55411,                0.70849,                0.45895,                 1.3787,                 1.8398,                 1.9558,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.648,                 1.7086,                 2.1415,                0.63377,                0.62338,                0.68963,                0.44442,                 1.3841,                 1.9307,                 1.9579,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.6193,                 1.6616,                 2.0639,                0.74228,                0.62338,                0.73486,                0.49541,                 1.3783,                 1.7517,                 1.9219,               0.001109,               0.001109,               0.001109
                     47,                 1.5384,                 1.6565,                 2.0448,                 0.6566,                0.64935,                  0.692,                0.46901,                 1.3688,                 1.6198,                 1.9263,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.5477,                 1.5873,                 2.0448,                0.58379,                0.61039,                0.62882,                0.39966,                 1.3813,                 1.7755,                 2.0006,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.5633,                 1.6465,                 2.0695,                0.61618,                 0.5671,                0.58903,                0.37782,                 1.4051,                 1.9725,                 2.0764,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.5409,                 1.6367,                 1.9835,                0.66408,                0.74459,                0.76108,                0.51395,                 1.2956,                 1.4965,                 1.8552,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.6191,                 1.6522,                 2.0857,                0.57038,                0.75325,                0.66218,                0.44288,                 1.2637,                 1.6713,                 1.8271,                0.00101,                0.00101,                0.00101
                     52,                 1.4826,                 1.5592,                 1.9394,                0.50951,                0.61472,                0.55185,                0.36874,                 1.2536,                  1.879,                 1.8452,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.4471,                 1.5621,                 1.9873,                 0.6396,                0.67965,                0.68183,                0.45478,                 1.2472,                 1.6593,                 1.8415,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.4812,                 1.5446,                 1.9915,                0.75044,                0.70295,                0.79017,                0.56189,                 1.1781,                 1.4406,                 1.7665,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.5115,                 1.5287,                 2.0134,                 0.7563,                0.64069,                0.76179,                0.53278,                 1.3016,                 1.5465,                 1.8606,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.4573,                  1.547,                 2.0106,                0.77439,                0.66667,                0.77149,                0.57251,                 1.1997,                 1.4426,                 1.7853,               0.000911,               0.000911,               0.000911
                     57,                 1.4224,                 1.5335,                 1.9411,                0.70939,                0.72294,                0.78264,                0.56519,                 1.1814,                   1.38,                 1.7691,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.4221,                 1.4579,                 1.9472,                 0.6477,                0.77201,                0.76293,                0.54525,                 1.1874,                 1.3738,                 1.7757,              0.0008714,              0.0008714,              0.0008714
                     59,                  1.403,                  1.405,                  1.916,                0.61507,                0.73593,                0.69235,                0.48185,                  1.197,                 1.5369,                 1.7864,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.3739,                 1.4137,                 1.8345,                0.69935,                0.68475,                0.73791,                0.49477,                 1.2537,                 1.5192,                  1.824,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.4218,                 1.4249,                 1.8709,                0.67535,                0.76548,                 0.7803,                0.53854,                 1.2033,                 1.3972,                 1.7696,               0.000812,               0.000812,               0.000812
                     62,                 1.3731,                  1.445,                  1.849,                0.69083,                0.68831,                0.75271,                0.54937,                 1.1922,                 1.3999,                 1.7491,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.4169,                 1.4058,                  1.877,                0.67118,                0.72458,                0.76324,                0.56455,                 1.1648,                 1.4049,                  1.695,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2775,                  1.296,                 1.7914,                0.69264,                0.74459,                0.81561,                 0.6028,                  1.093,                 1.2745,                   1.64,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.3404,                 1.3608,                   1.81,                0.70101,                0.77056,                0.82586,                 0.6157,                 1.0487,                 1.2382,                 1.6051,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.3388,                 1.3318,                 1.7987,                0.73824,                0.78355,                0.81684,                0.60924,                 1.0425,                 1.2072,                  1.593,               0.000713,               0.000713,               0.000713
